Experiment OOB UOB OB VFDT ESOS_ELM
StaticIm10_Borderline60 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9695274988456394
StaticIm10_Borderline80 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9682925809203058
StaticIm10_Borderline100 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9692710283392223
StaticIm10_Rare20-post-drift 0.8779253794058892 0.8726724967614077 0.8705408769362479 0.8649375205077627 0.857025018724982
StaticIm10_Rare40-post-drift 0.7659668520411207 0.7604417845215402 0.7517669821435637 0.7599810256365397 0.7399910042040971
StaticIm10_Rare60-post-drift 0.6242876135573752 0.6308899686579905 0.5911930354199302 0.6020887201734045 0.6277820296054325
StaticIm10_Rare80-post-drift 0.4502706903259173 0.5487574983237137 0.32710644382752807 0.3486287158078819 0.5523431020597671
StaticIm10_Rare100-post-drift 0.11561910752040741 0.5469240647217666 0.0 0.030942657094206703 0.5511119768009662
StaticIm10_Rare20 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9693236355509629
StaticIm10_Rare40 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9697296514381986
StaticIm10_Rare60 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9689781338204405
StaticIm10_Rare80 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9701587095787454
StaticIm10_Rare100 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9696158679583011
StaticIm10_Move3-post-drift 0.9738877590728681 0.960657928811297 0.9335955741698226 0.9248700679704316 0.9476555036470685
StaticIm10_Move5-post-drift 0.9749980354568015 0.941664868346685 0.8863244648874146 0.885369421477814 0.9375250716430192
StaticIm10_Move7-post-drift 0.9735750086550675 0.9404306306638439 0.8820087907563898 0.8992007186776239 0.9348361177160669
StaticIm10_Move3 0.9692069775538006 0.9242636731270505 0.8309898876833577 0.7920223198339438 0.9337087924757232
StaticIm10_Move5 0.9676797728992736 0.9177679292561903 0.8319160017452303 0.7881158734968573 0.9295881628086866
StaticIm10_Move7 0.9603488370168906 0.914580447505197 0.7836099952138781 0.7934803759136198 0.9260766045512574
StaticIm10_Join3-post-drift 0.9888396288986308 0.9811948818887111 0.9828691958456057 0.9830717517203504 0.9594483230105622
StaticIm10_Join5-post-drift 0.9881226988000925 0.9820536949797208 0.9707685184164843 0.960842211840451 0.9603579099470648
StaticIm10_Join7-post-drift 0.9943454889853669 0.9888738500488795 0.9904253805227986 0.9891008090089007 0.9689108110106772
StaticIm10_Join3 0.9692069775538006 0.9242636731270505 0.8309898876833577 0.7920223198339438 0.9360374491536122
StaticIm10_Join5 0.9676797728992736 0.9177679292561903 0.8319160017452303 0.7881158734968573 0.9311656092201135
StaticIm10_Join7 0.9603488370168906 0.914580447505197 0.7836099952138781 0.7934803759136198 0.9243485702619856
StaticIm10_Split3-post-drift 0.9798014438209277 0.9616207779779188 0.9276448890757548 0.9220431902984577 0.9472447032207858
StaticIm10_Split5-post-drift 0.9743096871968204 0.9523829012483198 0.9077604157100027 0.9023098443415293 0.9451651503815685
StaticIm10_Split7-post-drift 0.9735301613176075 0.9435989742261469 0.9106408320643229 0.9126699968391758 0.939529636810683
StaticIm10_Split3 0.9905156566874179 0.9768277456968434 0.9815337809302791 0.9808269462659659 0.9660175030713614
StaticIm10_Split5 0.9890175988262279 0.9816714960377706 0.9811232510149296 0.9766736516893294 0.9683224772512797
StaticIm10_Split7 0.9942917591636398 0.9883665907977848 0.9874044849610802 0.9862948948109495 0.9666547639751062
StaticIm20_Im1 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9535729852851744
StaticIm20_Im2 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9542247269652746
StaticIm20_Im3 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9541908587190084
StaticIm20_Im5 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.95369029496491
StaticIm20_Im10 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.954092111611289
StaticIm20_Im60 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.954478883831505
StaticIm20_Im70 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9547408746591615
StaticIm20_Im80 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.954283078770923
StaticIm20_Im90 0.9844369067643542 0.9766163043144213 0.9829239717933611 0.9813199449690995 0.9538934058240965
StaticIm30_Im1 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9548168177366406
StaticIm30_Im2 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9553518899527653
StaticIm30_Im3 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9555825609028205
StaticIm30_Im5 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.955099015044123
StaticIm30_Im10 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9553106589226305
StaticIm30_Im20 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9551983574136763
StaticIm30_Im60 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9556925941102691
StaticIm30_Im70 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9548426758306438
StaticIm30_Im80 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9553144717375577
StaticIm30_Im90 0.9845794591321873 0.9820497944864466 0.9847366192061952 0.9806712075831735 0.9550540063014117
StaticIm40_Im1 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9574625080496284
StaticIm40_Im2 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.95811797069107
StaticIm40_Im3 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9580635213688712
StaticIm40_Im5 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9590572710168012
StaticIm40_Im10 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9573131705539248
StaticIm40_Im20 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9581447052244394
StaticIm40_Im30 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9574506610180092
StaticIm40_Im60 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9581364958365738
StaticIm40_Im70 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9579244018902402
StaticIm40_Im80 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.957675046384017
StaticIm40_Im90 0.9830467170380534 0.9816213870949093 0.9829144626022532 0.9800860146076632 0.9581748666750144
Im1+Borderline20-post-drift 0.9469168352635066 0.9697160768951166 0.23866677946773596 0.43074947131184305 0.9546816997253318
